thermal,met,userid,experimentid,responseSpeed
10.0,9.0,dorn05,dorn,6.529
10.0,8.0,dorn08,dorn,11.579
10.0,8.0,dorn02,dorn,13.856
10.0,8.0,dorn08,dorn,17.63
10.0,8.0,dorn08,dorn,20.671
9.0,9.0,dorn05,dorn,7.226
11.0,9.0,dorn13,dorn,8.49
11.0,10.0,dorn15,dorn,42.747
10.0,9.0,dorn02,dorn,18.672
11.0,9.0,dorn13,dorn,13.634
11.0,8.0,dorn12,dorn,30.843
11.0,9.0,dorn05,dorn,7.505
10.0,10.0,dorn02,dorn,18.95
11.0,9.0,dorn08,dorn,13.226
10.0,9.0,dorn15,dorn,9.244
10.0,9.0,dorn11,dorn,26.809
10.0,8.0,dorn12,dorn,16.903
10.0,9.0,dorn05,dorn,10.516
10.0,8.0,dorn02,dorn,20.934
10.0,8.0,dorn02,dorn,13.456
10.0,8.0,dorn13,dorn,12.808
11.0,10.0,dorn15,dorn,17.722
11.0,9.0,dorn12,dorn,6.442
10.0,8.0,dorn13,dorn,10.183
10.0,8.0,dorn02,dorn,12.803
11.0,10.0,dorn15,dorn,3925.713
10.0,8.0,dorn15,dorn,10.007
10.0,8.0,dorn15,dorn,10.868
10.0,8.0,dorn13,dorn,18.963
10.0,8.0,dorn02,dorn,17.498
11.0,9.0,dorn12,dorn,11.022
10.0,8.0,dorn15,dorn,12.437
10.0,10.0,dorn11,dorn,24.945
10.0,8.0,dorn13,dorn,20.069
10.0,8.0,dorn02,dorn,14.228
10.0,9.0,dorn05,dorn,9.771
11.0,9.0,dorn05,dorn,21.805
10.0,9.0,dorn11,dorn,17.17
10.0,9.0,dorn12,dorn,8.279
11.0,9.0,dorn13,dorn,17.533
11.0,9.0,dorn03,dorn,10.319
11.0,9.0,dorn05,dorn,7.476
10.0,9.0,dorn02,dorn,15.57
10.0,9.0,dorn03,dorn,7.628
,,dorn999,dorn,0.035
,,dorn999,dorn,0.033
,,dorn999,dorn,0.046
,,dorn999,dorn,0.039
,,dorn999,dorn,0.035
,,dorn999,dorn,0.03
,,dorn999,dorn,0.034
,,dorn999,dorn,0.035
,,dorn999,dorn,0.038
,,dorn999,dorn,0.036
,,dorn999,dorn,0.08
,,dorn999,dorn,0.051
,,dorn999,dorn,0.045
,,dorn999,dorn,0.035
,,dorn999,dorn,0.034
,,dorn999,dorn,0.045
,,dorn999,dorn,0.057
,,dorn999,dorn,0.034
,,dorn999,dorn,0.033
10.0,9.0,dorn12,dorn,6.352
11.0,10.0,dorn11,dorn,21.579
10.0,9.0,dorn03,dorn,38.791
,,dorn999,dorn,0.047
,,dorn999,dorn,0.052
10.0,8.0,dorn08,dorn,25.334
11.0,9.0,dorn03,dorn,9.535
10.0,9.0,dorn15,dorn,2463.131
10.0,9.0,dorn03,dorn,6.898
11.0,9.0,dorn13,dorn,12.791
10.0,9.0,dorn03,dorn,6.861
11.0,9.0,dorn02,dorn,33.855
,,dorn999,dorn,0.033
,,dorn999,dorn,0.035
,,dorn999,dorn,0.054
11.0,9.0,dorn03,dorn,302.442
10.0,9.0,dorn08,dorn,24.795
11.0,9.0,dorn05,dorn,5.298
11.0,9.0,dorn03,dorn,8.659
10.0,9.0,dorn03,dorn,10.59
11.0,9.0,dorn12,dorn,83.784
10.0,9.0,dorn08,dorn,21.96
11.0,10.0,dorn11,dorn,22.654
9.0,,dorn999,dorn,1.056
10.0,,dorn999,dorn,1.201
11.0,,dorn999,dorn,1.139
10.0,10.0,dorn02,dorn,12.809
9.0,,dorn999,dorn,0.957
9.0,,dorn999,dorn,1.774
9.0,,dorn999,dorn,0.865
11.0,9.0,dorn13,dorn,17.586
9.0,9.0,dorn03,dorn,17.921
10.0,9.0,dorn15,dorn,3511.651
9.0,,dorn999,dorn,0.916
9.0,9.0,dorn05,dorn,7.574
10.0,8.0,dorn15,dorn,11.139
10.0,10.0,dorn03,dorn,3051.39
10.0,10.0,dorn03,dorn,9.717
10.0,9.0,dorn03,dorn,45.105
10.0,9.0,dorn05,dorn,6.212
11.0,10.0,dorn11,dorn,801.769
11.0,9.0,dorn13,dorn,20.057
10.0,9.0,dorn08,dorn,2898.584
11.0,11.0,dorn15,dorn,11.173
11.0,10.0,dorn02,dorn,367.311
10.0,9.0,dorn03,dorn,1484.089
11.0,9.0,dorn05,dorn,5.57
10.0,9.0,dorn13,dorn,16.742
11.0,10.0,dorn02,dorn,16.798
11.0,10.0,dorn11,dorn,16.036
11.0,9.0,dorn03,dorn,1326.153
10.0,9.0,dorn03,dorn,10.041
10.0,9.0,dorn03,dorn,12.57
11.0,9.0,dorn12,dorn,6.433
11.0,9.0,dorn05,dorn,6.966
10.0,10.0,dorn11,dorn,16.015
11.0,9.0,dorn12,dorn,6.364
11.0,9.0,dorn13,dorn,342.625
10.0,9.0,dorn05,dorn,7.933
10.0,9.0,dorn08,dorn,18.248
10.0,8.0,dorn02,dorn,8.784
10.0,9.0,dorn03,dorn,1815.54
10.0,8.0,dorn02,dorn,10.173
11.0,9.0,dorn13,dorn,18.59
11.0,9.0,dorn15,dorn,12.758
10.0,9.0,dorn08,dorn,14.279
11.0,10.0,dorn15,dorn,9.566
11.0,9.0,dorn13,dorn,10.183
11.0,9.0,dorn08,dorn,16.782
11.0,9.0,dorn03,dorn,10.185
10.0,9.0,dorn03,dorn,7.171
10.0,9.0,dorn03,dorn,9.702
10.0,9.0,dorn05,dorn,11.539
10.0,9.0,dorn05,dorn,6.768
11.0,9.0,dorn12,dorn,2072.921
10.0,8.0,dorn02,dorn,11.471
10.0,9.0,dorn03,dorn,18.379
10.0,9.0,dorn05,dorn,6.285
11.0,9.0,dorn12,dorn,8.344
11.0,9.0,dorn15,dorn,10.262
11.0,9.0,dorn03,dorn,12.127
10.0,9.0,dorn11,dorn,1049.344
11.0,9.0,dorn13,dorn,10.228
11.0,9.0,dorn05,dorn,5.833
10.0,9.0,dorn03,dorn,18.95
11.0,9.0,dorn12,dorn,5.429
11.0,9.0,dorn12,dorn,5.273
10.0,10.0,dorn11,dorn,21.884
10.0,9.0,dorn03,dorn,20.062
10.0,9.0,dorn08,dorn,20.732
10.0,8.0,dorn02,dorn,12.756
10.0,10.0,dorn15,dorn,11.719
10.0,9.0,dorn13,dorn,10.367
11.0,9.0,dorn03,dorn,20.24
11.0,9.0,dorn05,dorn,6.142
10.0,9.0,dorn15,dorn,13.007
10.0,9.0,dorn08,dorn,8.953
10.0,9.0,dorn13,dorn,12.882
10.0,9.0,dorn08,dorn,13.951
10.0,9.0,dorn11,dorn,14.016
9.0,9.0,dorn03,dorn,10.577
10.0,9.0,dorn15,dorn,10.726
10.0,8.0,dorn02,dorn,13.043
10.0,9.0,dorn03,dorn,3153.835
11.0,9.0,dorn13,dorn,9.848
10.0,8.0,dorn11,dorn,18.225
11.0,11.0,dorn12,dorn,15.4
10.0,10.0,dorn15,dorn,2641.831
11.0,9.0,dorn05,dorn,5.846
10.0,9.0,dorn05,dorn,11.128
10.0,8.0,dorn02,dorn,12.034
10.0,9.0,dorn05,dorn,4.572
11.0,9.0,dorn12,dorn,6.866
11.0,10.0,dorn03,dorn,9.968
11.0,10.0,dorn11,dorn,19.954
10.0,8.0,dorn08,dorn,4733.437
11.0,10.0,dorn03,dorn,2312.455
10.0,8.0,dorn08,dorn,13.034
10.0,9.0,dorn13,dorn,15.52
10.0,9.0,dorn11,dorn,21.579
11.0,9.0,dorn12,dorn,5.906
10.0,10.0,dorn02,dorn,11.409
10.0,9.0,dorn15,dorn,1728.958
10.0,9.0,dorn05,dorn,9.697
10.0,10.0,dorn15,dorn,12.364
11.0,9.0,dorn15,dorn,9.201
10.0,8.0,dorn08,dorn,18.44
11.0,8.0,dorn13,dorn,19.986
10.0,10.0,dorn03,dorn,12.572
9.0,10.0,dorn02,dorn,21.435
10.0,9.0,dorn03,dorn,8.237
11.0,8.0,dorn08,dorn,13.537
11.0,9.0,dorn12,dorn,4132.207
10.0,8.0,dorn02,dorn,9.786
10.0,9.0,dorn11,dorn,43.181
11.0,9.0,dorn12,dorn,345.449
11.0,10.0,dorn08,dorn,12.316
11.0,9.0,dorn05,dorn,6.175
10.0,9.0,dorn03,dorn,8.861
10.0,9.0,dorn13,dorn,15.951
10.0,9.0,dorn15,dorn,11.679
10.0,9.0,dorn05,dorn,5.514
10.0,9.0,dorn05,dorn,6.258
10.0,9.0,dorn05,dorn,4.694
10.0,9.0,dorn13,dorn,14.233
11.0,9.0,dorn12,dorn,6.654
10.0,8.0,dorn15,dorn,9.441
11.0,9.0,dorn12,dorn,10.342
10.0,9.0,dorn08,dorn,20.403
10.0,9.0,dorn13,dorn,17.881
11.0,9.0,dorn11,dorn,15.834
10.0,9.0,dorn03,dorn,8.919
10.0,9.0,dorn08,dorn,27.888
10.0,8.0,dorn02,dorn,19.556
10.0,9.0,dorn11,dorn,15.391
11.0,9.0,dorn13,dorn,30.403
11.0,9.0,dorn12,dorn,5.371
11.0,9.0,dorn13,dorn,11.701
10.0,9.0,dorn15,dorn,2230.781
10.0,9.0,dorn08,dorn,2610.324
11.0,9.0,dorn05,dorn,4.865
10.0,8.0,dorn03,dorn,15.254
11.0,9.0,dorn13,dorn,20.427
10.0,9.0,dorn05,dorn,4.725
10.0,9.0,dorn15,dorn,9.079
11.0,9.0,dorn03,dorn,33.958
11.0,9.0,dorn12,dorn,14.621
10.0,9.0,dorn11,dorn,11.722
11.0,9.0,dorn03,dorn,8.848
11.0,10.0,dorn03,dorn,2952.967
11.0,8.0,dorn12,dorn,10.472
11.0,11.0,dorn11,dorn,52.843
10.0,9.0,dorn05,dorn,6.316
10.0,9.0,dorn03,dorn,35.388
10.0,8.0,dorn02,dorn,20.018
11.0,9.0,dorn12,dorn,5.466
10.0,8.0,dorn13,dorn,30.85
11.0,9.0,dorn12,dorn,10.365
10.0,8.0,dorn08,dorn,14.661
10.0,9.0,dorn15,dorn,443.456
11.0,9.0,dorn03,dorn,2582.449
10.0,9.0,dorn11,dorn,9.544
10.0,9.0,dorn05,dorn,6.343
10.0,8.0,dorn02,dorn,9.019
10.0,9.0,dorn03,dorn,12.719
10.0,9.0,dorn15,dorn,9.992
11.0,9.0,dorn03,dorn,11.056
11.0,9.0,dorn12,dorn,5.594
10.0,8.0,dorn15,dorn,11.316
11.0,8.0,dorn12,dorn,9.59
10.0,8.0,dorn02,dorn,14.884
11.0,9.0,dorn12,dorn,1499.678
11.0,10.0,dorn15,dorn,11.352
11.0,9.0,dorn07,dorn,1225455.135
11.0,9.0,dorn07,dorn,11.502
11.0,9.0,dorn12,dorn,9.772
10.0,9.0,dorn03,dorn,9.234
10.0,9.0,dorn11,dorn,437.115
11.0,9.0,dorn07,dorn,16.422
11.0,9.0,dorn12,dorn,106.777
10.0,9.0,dorn15,dorn,12.459
10.0,9.0,dorn13,dorn,14.909
11.0,9.0,dorn07,dorn,22.256
10.0,9.0,dorn08,dorn,10.351
11.0,9.0,dorn03,dorn,188.39
10.0,10.0,dorn02,dorn,13.382
11.0,9.0,dorn12,dorn,10.078
10.0,9.0,dorn07,dorn,17.705
10.0,9.0,dorn13,dorn,17.381
10.0,9.0,dorn13,dorn,32.031
10.0,10.0,dorn15,dorn,2104.68
10.0,8.0,dorn02,dorn,13.361
10.0,9.0,dorn03,dorn,2679.205
11.0,9.0,dorn13,dorn,15.508
10.0,9.0,dorn03,dorn,255.267
10.0,8.0,dorn02,dorn,9.162
11.0,9.0,dorn12,dorn,18.266
11.0,9.0,dorn13,dorn,35.123
11.0,9.0,dorn11,dorn,15.293
11.0,9.0,dorn15,dorn,497.823
10.0,9.0,dorn08,dorn,457.157
10.0,8.0,dorn02,dorn,9.96
11.0,9.0,dorn07,dorn,17.664
11.0,9.0,dorn13,dorn,25.261
10.0,9.0,dorn03,dorn,577.897
11.0,9.0,dorn13,dorn,8.105
10.0,9.0,dorn03,dorn,8.591
10.0,9.0,dorn08,dorn,7.344
10.0,9.0,dorn11,dorn,15.058
10.0,10.0,dorn02,dorn,9.06
11.0,9.0,dorn07,dorn,11.641
10.0,9.0,dorn08,dorn,1108.763
11.0,11.0,dorn12,dorn,11.788
10.0,10.0,dorn02,dorn,12.097
10.0,9.0,dorn08,dorn,9.349
10.0,11.0,dorn15,dorn,11.381
11.0,9.0,dorn13,dorn,33.957
10.0,8.0,dorn02,dorn,9.03
11.0,9.0,dorn13,dorn,12.82
10.0,8.0,dorn11,dorn,16.413
11.0,10.0,dorn08,dorn,642.128
11.0,11.0,dorn07,dorn,18.557
11.0,9.0,dorn13,dorn,12.534
11.0,11.0,dorn15,dorn,19.21
11.0,11.0,dorn11,dorn,19.508
10.0,9.0,dorn03,dorn,1020.181
10.0,9.0,dorn03,dorn,8.255
11.0,10.0,dorn08,dorn,13.13
11.0,11.0,dorn07,dorn,25.95
10.0,9.0,dorn11,dorn,2222.239
